claim_id,major_claim,evidence_source,status,manuscript_location,claim_boundary
FT-C01,"The 84-coordinate descriptor admits exact elimination to a 69-state generator with the same finite spectrum.","05_results/cp_ti_dynamic_descriptor_qz_v1.json; appendices/dyn_operator_proofs.tex",formal_and_numerical_gate_pass,"Theory; Results 5.1","Requires the stated algebraic-block and storage-block invertibility conditions; strict HCP-to-Bai degeneration remains open."
FT-C02,"On the same complete 69-state space and norm, full-state propagated minus frozen-integral log gains are +4.784, +7.217 and +6.402.","05_results/ijp_operator_consistency_v2.json",like_for_like_gate_pass,"Methods 4.3; Results 5.3","The projected constitutive gain is a separate input-output diagnostic and is not subtracted from the full-state spectral abscissa."
FT-C03,"Stationary-normal and commuting-normal fixed-leader controls recover propagated/frozen equality, while a switching leader and a mismatched projection fail as predicted.","05_results/ijp_operator_consistency_v2.json; 05_results/ijp_strengthening_evidence_v1.json",positive_and_boundary_controls_pass,"Methods 4.3; Results 5.4","Commutation and normality require a common pointwise leader for equality with the integral of the spectral abscissa."
FT-C04,"Modal condition numbers, eigenvector rotation, nonzero commutators and ordering controls identify active sources of finite-time/frozen non-equivalence.","05_results/ijp_operator_consistency_v2.json; 05_results/ijp_operator_consistency_v2/mechanism_history.csv",mechanism_diagnostics_pass,"Methods 4.3; Results 5.3; Discussion 6.1","These are operator diagnostics rather than unique causal decomposition of the physical specimen."
FT-C05,"Each of seven input-output selector questions has a stable winner across 11 registered factor-two norms, but different selectors can choose different branches.","05_results/ijp_operator_consistency_v2/norm_selector_winners.csv",sensitivity_matrix_complete,"Methods 4.5; Results 5.3; Discussion 6.5","Robustness is conditional on the tested norm family and physical selector question; it is not coordinate or selector invariance."
FT-C06,"Three independently selected crystal orientations retain positive like-for-like finite-time/frozen discrepancies.","05_results/ijp_strengthening_evidence_v1.json; 05_results/ijp_strengthening_evidence_v1/orientation_transfer.csv",three_orientation_transfer_pass,"Methods 4.4; Results 5.4","This is orientation transfer under one loading path, not a full loading-path campaign."
FT-C07,"The retained onset and terminal basins pass an anchor-assisted convergence and basin-recurrence audit.","05_results/ijp_strengthening_evidence_v1.json; 05_results/ijp_strengthening_evidence_v1/optimizer_trajectories.csv",anchor_assisted_search_audit_pass,"Methods 4.5; Results 5.4","Blind 1024-point Sobol sampling misses the terminal basin; no independent global-optimum certificate is claimed."
FT-C08,"The complete nonlinear periodic residual reproduces the actual optimized near-onset and terminal singular-vector gains within 1.24% and 0.223%.","05_results/ijp_singular_vector_nonlinear_validation_v2.json; 05_results/ijp_singular_vector_nonlinear_validation_v2_fields.npz",both_horizon_nonlinear_gate_pass,"Methods 4.7; Results 5.8","This validates small-amplitude transport, not finite-amplitude saturation, mature width or propagation resistance."
FT-C09,"The constitutive ledger partitions crystal-plastic power into heat and a passive nonthermal remainder consistently with the stated entropy-production inequality.","sections/ft_model.tex; 05_results/ijp_singular_vector_nonlinear_validation_v2.json",scoped_thermodynamic_bookkeeping_closed,"Model 2.2; Results 5.2; Discussion 6.4","The passive remainder is not identified as dislocation Helmholtz free energy and produces no hardening force."
FT-C10,"The current theory closes finite-time finite-band selection but does not identify a seed-independent material width or areal propagation resistance.","05_results/cp_ti_lsbrp_q3_nonautonomous_bridge_v1.json; sections/ft_discussion.tex",negative_scale_gate_retained,"Results 5.9; Discussion 6.4; Conclusions","The selected wavelength is an amplified disturbance period, not a mature shear-band thickness."
